micro_market,rental_yield_pct,yoy_price_growth,infra_score,liquidity_score,price_volatility,cluster,cluster_label
Ambernath,5.60000457739948,5.4732714987860245,1.9451916666666667,0.5158846828730512,271.74389357117536,2,Balanced
Andheri East,3.499995710484859,8.759272545589445,1.8421541666666668,0.481209146283023,1278.4762552358736,0,Yield Focused
Andheri West,3.3999974050000015,9.259271846741406,1.7520499999999999,0.5064659154451977,1657.9675287258133,0,Yield Focused
Badlapur,5.799995011938678,4.953428667852334,0.3620833333333333,0.5182306212286876,224.07233221298,1,High Growth
Bandra West,2.800000390324325,11.218728142327928,2.190166666666667,0.5129084924218708,4161.064274326937,3,High Risk / Volatile
Belapur,3.9999971535228105,7.972880276224685,1.8231208333333333,0.501984122765773,865.9626257078077,0,Yield Focused
Bhandup,4.599996188821016,7.445917385578342,1.790225,0.5033613403078879,662.7909721761782,0,Yield Focused
Borivali East,4.199998666728171,7.152488061553677,1.7317916666666668,0.49326563544407964,686.255888713736,0,Yield Focused
Chembur,3.6999952916549357,8.754994268652222,1.667620833333333,0.4812908456287417,1207.4778518818848,0,Yield Focused
Dombivli,4.90001268907644,6.4730915780061276,1.9431291666666666,0.48837534603606153,427.9372580657431,0,Yield Focused
Goregaon West,3.799997147821936,8.420496478590406,1.909525,0.49053454303005517,1055.3214754921212,0,Yield Focused
Juhu,2.8999979981018504,10.59142740121005,2.2708208333333335,0.4967436933046748,3459.9752993476227,3,High Risk / Volatile
Kandivali East,4.299991624558748,6.83586782886754,1.8116208333333332,0.49892623296887384,620.0879570674894,0,Yield Focused
Kanjurmarg,4.300001268343886,7.581450867739642,1.8161875,0.4902661023226938,741.3762975184555,0,Yield Focused
Kharghar,4.500006010822642,7.358958257028928,1.77445,0.4785013965392039,653.1522679221042,0,Yield Focused
Lower Parel,2.9999994535428374,11.075740516244235,2.22005,0.4945378109702705,3477.1176875770816,3,High Risk / Volatile
Malad West,3.9000031562267776,7.914475478464291,1.830025,0.5084733850828567,886.1542824981375,0,Yield Focused
Mira Road,5.000001481806555,6.4067648758374185,1.8915374999999999,0.5049252992116454,437.79182754904144,2,Balanced
Mulund,4.200004552924167,7.4619309383404575,1.0617083333333335,0.5000233384685246,741.7876370254113,0,Yield Focused
Nerul,3.899997591006524,8.207887904973582,1.8632583333333335,0.4832049445855794,972.9264240285514,0,Yield Focused
Panvel,4.700006319670858,6.835993728889042,2.0233291666666666,0.493394020130209,511.07723746745006,0,Yield Focused
Powai,3.199999428915019,10.037393916152135,1.6892291666666666,0.5100606866568196,2053.804385611384,3,High Risk / Volatile
Thane West,4.500005807762744,7.305071361362404,1.3278999999999999,0.49543650377317594,617.0437256364276,0,Yield Focused
Ulwe,5.000003067285106,6.738145897824188,1.9208208333333334,0.4960200705283094,434.76685205989247,0,Yield Focused
Vasai,5.300013375651712,5.9623654362485,0.38151666666666667,0.49974322642606067,340.98637456581247,1,High Growth
Vashi,3.79999951011629,8.332621518660297,1.7619125,0.5089635811571688,1033.7850122606203,0,Yield Focused
Vikhroli,3.99999481995596,8.136887206245618,1.7381416666666667,0.48466386147341295,935.0010440578503,0,Yield Focused
Virar,5.500012025612315,6.061442956484325,0.4430541666666667,0.5130602197782055,331.37922244457286,1,High Growth
Worli,2.7000008711905092,11.638708001793447,2.0871416666666667,0.5003851498567073,4928.541948478235,3,High Risk / Volatile
